id,name,district,block,lat,lng,capacity_quintals,utilization_pct,operator_phone,registry_source,verified
CS-001,Burdwan CS #14,Purba Bardhaman,Purba,23.2324,87.8615,12000,72,,KhetSmart verified (8-facility seed),yes
CS-002,Hooghly CS #7,Hooghly,Hooghly,22.896,88.398,8500,75,,KhetSmart verified (8-facility seed),yes
CS-003,Bankura CS #3,Bankura,Bankura,23.2324,87.071,6000,70,,KhetSmart verified (8-facility seed),yes
CS-004,Asansol CS #9,Paschim Bardhaman,Paschim,23.6739,86.9524,10000,58,,KhetSmart verified (8-facility seed),yes
CS-005,Malda CS #2,Malda,Malda,25.0108,88.14,7500,88,,KhetSmart verified (8-facility seed),yes
CS-006,Nadia CS #11,Nadia,Nadia,23.405,88.49,9200,66,,KhetSmart verified (8-facility seed),yes
CS-007,Murshidabad CS #5,Murshidabad,Murshidabad,24.18,88.27,11000,86,,KhetSmart verified (8-facility seed),yes
CS-008,Birbhum CS #6,Birbhum,Birbhum,23.9,87.52,5500,60,,KhetSmart verified (8-facility seed),yes
CS-009,Burdwan Cold Storage #1,Purba Bardhaman,Burdwan,23.2831,87.8847,5925,75,,OGD/WB corridor model (replace with govt CSV),no
CS-010,Burdwan Cold Storage #2,Purba Bardhaman,Burdwan,23.249,87.8581,8652,75,,OGD/WB corridor model (replace with govt CSV),no
CS-011,Burdwan Cold Storage #3,Purba Bardhaman,Burdwan,23.2284,87.8342,4487,68,,OGD/WB corridor model (replace with govt CSV),no
CS-012,Burdwan Cold Storage #4,Purba Bardhaman,Burdwan,23.1676,87.8505,4001,76,,OGD/WB corridor model (replace with govt CSV),no
CS-013,Burdwan Cold Storage #5,Purba Bardhaman,Burdwan,23.2022,87.9086,11278,58,,OGD/WB corridor model (replace with govt CSV),no
CS-014,Burdwan Cold Storage #6,Purba Bardhaman,Burdwan,23.2802,87.8113,8902,54,,OGD/WB corridor model (replace with govt CSV),no
CS-015,Burdwan Cold Storage #7,Purba Bardhaman,Burdwan,23.2806,87.8979,10905,61,,OGD/WB corridor model (replace with govt CSV),no
CS-016,Burdwan Cold Storage #8,Purba Bardhaman,Burdwan,23.2044,87.838,9295,71,,OGD/WB corridor model (replace with govt CSV),no
CS-017,Burdwan Cold Storage #9,Purba Bardhaman,Burdwan,23.2831,87.895,5925,69,,OGD/WB corridor model (replace with govt CSV),no
CS-018,Burdwan Cold Storage #10,Purba Bardhaman,Burdwan,23.1842,87.8439,10134,71,,OGD/WB corridor model (replace with govt CSV),no
CS-019,Burdwan Cold Storage #11,Purba Bardhaman,Burdwan,23.2309,87.8761,12507,72,,OGD/WB corridor model (replace with govt CSV),no
CS-020,Burdwan Cold Storage #12,Purba Bardhaman,Burdwan,23.2306,87.8641,11505,55,,OGD/WB corridor model (replace with govt CSV),no
CS-021,Burdwan Cold Storage #13,Purba Bardhaman,Burdwan,23.28,87.9064,6900,74,,OGD/WB corridor model (replace with govt CSV),no
CS-022,Burdwan Cold Storage #14,Purba Bardhaman,Burdwan,23.1681,87.8718,10005,77,,OGD/WB corridor model (replace with govt CSV),no
CS-023,Burdwan Cold Storage #15,Purba Bardhaman,Burdwan,23.2389,87.8296,9571,84,,OGD/WB corridor model (replace with govt CSV),no
CS-024,Burdwan Cold Storage #16,Purba Bardhaman,Burdwan,23.1756,87.878,10065,87,,OGD/WB corridor model (replace with govt CSV),no
CS-025,Burdwan Cold Storage #17,Purba Bardhaman,Burdwan,23.1891,87.8045,11173,82,,OGD/WB corridor model (replace with govt CSV),no
CS-026,Burdwan Cold Storage #18,Purba Bardhaman,Burdwan,23.2771,87.8319,6877,88,,OGD/WB corridor model (replace with govt CSV),no
CS-027,Burdwan Cold Storage #19,Purba Bardhaman,Burdwan,23.1855,87.8459,9144,64,,OGD/WB corridor model (replace with govt CSV),no
CS-028,Burdwan Cold Storage #20,Purba Bardhaman,Burdwan,23.204,87.9142,7292,86,,OGD/WB corridor model (replace with govt CSV),no
CS-029,Burdwan Cold Storage #21,Purba Bardhaman,Burdwan,23.1943,87.851,12214,50,,OGD/WB corridor model (replace with govt CSV),no
CS-030,Burdwan Cold Storage #22,Purba Bardhaman,Burdwan,23.2384,87.8324,11567,60,,OGD/WB corridor model (replace with govt CSV),no
CS-031,Burdwan Cold Storage #23,Purba Bardhaman,Burdwan,23.1761,87.8696,6069,77,,OGD/WB corridor model (replace with govt CSV),no
CS-032,Burdwan Cold Storage #24,Purba Bardhaman,Burdwan,23.1841,87.8997,4133,70,,OGD/WB corridor model (replace with govt CSV),no
CS-033,Burdwan Cold Storage #25,Purba Bardhaman,Burdwan,23.1771,87.8225,8077,80,,OGD/WB corridor model (replace with govt CSV),no
CS-034,Burdwan Cold Storage #26,Purba Bardhaman,Burdwan,23.2372,87.8085,11558,56,,OGD/WB corridor model (replace with govt CSV),no
CS-035,Burdwan Cold Storage #27,Purba Bardhaman,Burdwan,23.2791,87.7975,8893,62,,OGD/WB corridor model (replace with govt CSV),no
CS-036,Burdwan Cold Storage #28,Purba Bardhaman,Burdwan,23.235,87.861,11540,82,,OGD/WB corridor model (replace with govt CSV),no
CS-037,Burdwan Cold Storage #29,Purba Bardhaman,Burdwan,23.1844,87.8353,4135,84,,OGD/WB corridor model (replace with govt CSV),no
CS-038,Burdwan Cold Storage #30,Purba Bardhaman,Burdwan,23.1746,87.843,6057,56,,OGD/WB corridor model (replace with govt CSV),no
CS-039,Burdwan Cold Storage #31,Purba Bardhaman,Burdwan,23.2815,87.823,5912,72,,OGD/WB corridor model (replace with govt CSV),no
CS-040,Burdwan Cold Storage #32,Purba Bardhaman,Burdwan,23.1935,87.8159,7208,79,,OGD/WB corridor model (replace with govt CSV),no
CS-041,Burdwan Cold Storage #33,Purba Bardhaman,Burdwan,23.2315,87.8749,8512,85,,OGD/WB corridor model (replace with govt CSV),no
CS-042,Burdwan Cold Storage #34,Purba Bardhaman,Burdwan,23.234,87.8804,9532,69,,OGD/WB corridor model (replace with govt CSV),no
